phase,priority,task,definition_of_done,cut_if_behind
0,P0,Confirm final scope,"Name, track, MVP and cut list are frozen","Skip extra positioning"
1,P0,Generate v0 UI,"Mock navigation works across setup dashboard report presenter","Skip settings"
1,P0,Create mock LaunchPilot data,"Mock data includes personas sessions findings report presenter","Use static hardcoded data"
2,P0,Add Zod schemas,"All core mock data validates","Use fewer schemas but keep key ones"
2,P0,Add Prisma schema,"Models compile and migration can run","Use Json fields"
3,P0,POST /api/audits,"Creates live or demo audit and returns id","Force demo mode"
3,P0,GET /api/audits/[id],"Dashboard can load run state","Return mock data"
3,P0,GET /api/audits/[id]/events,"Workflow timeline can poll events","Return seeded events"
4,P0,generatePersonas,"Structured personas generated or fallback templates used","Use templates"
4,P0,runPersonaSession,"Each persona gets timeline and scores","Use seeded session templates"
4,P0,aggregateFindings,"Top findings generated with evidence refs","Use session friction points"
5,P0,fetchPageHtml,"HTML fetch with timeout works","Use demo snapshot"
5,P0,extractVisibleContent,"Sections/CTAs extracted","Use simple Cheerio only"
5,P1,captureScreenshot,"Browserless or fallback record works","DOM snapshot only"
6,P0,Persona detail UI,"Persona timeline and scores display","Reduce persona count"
7,P0,Final report,"Executive summary recommendations and copy variants display","Top 5 only"
8,P0,Workflow/sequential runner,"Step statuses persist and UI updates","Sequential runner only"
9,P1,Presenter Report,"Storyboard script and captions generated/displayed","Seeded presenter report"
9,P2,Remotion render,"Optional MP4 render/upload works","Disable render"
10,P0,Demo hardening,"Mock mode, live mode, failure mode tested","Stop feature work"
